origin,destination,,,,
SYD,MEL,,,,
SYD,BNE,,,,
SYD,PER,,,,unique
SYD,ADL,,,,ADL
SYD,OOL,,,,ALB
SYD,CNS,,,,AYQ
SYD,CBR,,,,BAL
SYD,HBA,,,,BME
SYD,DRW,,,,BNE
MEL,SYD,,,,CBR
MEL,BNE,,,,CFS
MEL,PER,,,,CNS
MEL,ADL,,,,DBO
MEL,OOL,,,,DRW
MEL,CNS,,,,HBA
MEL,CBR,,,,HTI
MEL,HBA,,,,KGI
MEL,DRW,,,,KTA
BNE,SYD,,,,LAN
BNE,MEL,,,,MCY
BNE,PER,,,,MEL
BNE,ADL,,,,OOL
BNE,OOL,,,,PER
BNE,CNS,,,,PQQ
BNE,CBR,,,,ZNE
BNE,HBA,,,,SYD
BNE,DRW,,,,TSV
PER,SYD,,,,MKY
PER,MEL,,,,NEW
PER,BNE,,,,ROK
PER,ADL,,,,GLT
PER,OOL,,,,PPP
PER,CNS,,,,EMD
PER,CBR,,,,MQL
PER,HBA,,,,PHE
PER,DRW,,,,
ADL,SYD,,,,
ADL,MEL,,,,
ADL,BNE,,,,
ADL,PER,,,,
ADL,OOL,,,,
ADL,CNS,,,,
ADL,CBR,,,,
ADL,HBA,,,,
ADL,DRW,,,,
OOL,SYD,,,,
OOL,MEL,,,,
OOL,BNE,,,,
OOL,PER,,,,
OOL,ADL,,,,
OOL,CNS,,,,
OOL,CBR,,,,
OOL,HBA,,,,
OOL,DRW,,,,
CNS,SYD,,,,
CNS,MEL,,,,
CNS,BNE,,,,
CNS,PER,,,,
CNS,ADL,,,,
CNS,OOL,,,,
CNS,CBR,,,,
CNS,HBA,,,,
CNS,DRW,,,,
CBR,SYD,,,,
CBR,MEL,,,,
CBR,BNE,,,,
CBR,PER,,,,
CBR,ADL,,,,
CBR,OOL,,,,
CBR,CNS,,,,
CBR,HBA,,,,
CBR,DRW,,,,
HBA,SYD,,,,
HBA,MEL,,,,
HBA,BNE,,,,
HBA,PER,,,,
HBA,ADL,,,,
HBA,OOL,,,,
HBA,CNS,,,,
HBA,CBR,,,,
HBA,DRW,,,,
DRW,SYD,,,,
DRW,MEL,,,,
DRW,BNE,,,,
DRW,PER,,,,
DRW,ADL,,,,
DRW,OOL,,,,
DRW,CNS,,,,
DRW,CBR,,,,
DRW,HBA,,,,
